air_intrinsic_declare,n_os,os_list,example_module
declare <3 x i64> @air.convert.s.v3i64.u.v3i8.rtp.sat(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.s.v3i64.u.v3i8.rtz(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.s.v3i64.u.v3i8.rtz.sat(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f16.rte(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f16.rte.sat(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f16.rtn(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f16.rtn.sat(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f16.rtp(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f16.rtp.sat(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f16.rtz(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f16.rtz.sat(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f32.rte(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f32.rte.sat(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f32.rtn(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f32.rtn.sat(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f32.rtp(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f32.rtp.sat(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f32.rtz(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f32.rtz.sat(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f64.rte(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f64.rte.sat(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f64.rtn(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f64.rtn.sat(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f64.rtp(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f64.rtp.sat(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f64.rtz(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.f.v3f64.rtz.sat(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i16.rte(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i16.rte.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i16.rtn(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i16.rtn.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i16.rtp(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i16.rtp.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i16.rtz(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i16.rtz.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i32.rte(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i32.rte.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i32.rtn(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i32.rtn.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i32.rtp(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i32.rtp.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i32.rtz(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i32.rtz.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i64.rte(<3 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i64.rte.sat(<3 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i64.rtn(<3 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i64.rtn.sat(<3 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i64.rtp(<3 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i64.rtp.sat(<3 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i64.rtz(<3 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i64.rtz.sat(<3 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i8.rte(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i8.rte.sat(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i8.rtn(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i8.rtn.sat(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i8.rtp(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i8.rtp.sat(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i8.rtz(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.s.v3i8.rtz.sat(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i16.rte(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i16.rte.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i16.rtn(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i16.rtn.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i16.rtp(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i16.rtp.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i16.rtz(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i16.rtz.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i32(<3 x i32>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!integer.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i32.rte(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i32.rte.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i32.rtn(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i32.rtn.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i32.rtp(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i32.rtp.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i32.rtz(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i32.rtz.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i8.rte(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i8.rte.sat(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i8.rtn(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i8.rtn.sat(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i8.rtp(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i8.rtp.sat(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i8.rtz(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i64> @air.convert.u.v3i64.u.v3i8.rtz.sat(<3 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
"declare <3 x i64> @air.hadd.s.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.hadd.u.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.mad_hi.s.v3i64(<3 x i64>, <3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.mad_hi.u.v3i64(<3 x i64>, <3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.mad_sat.s.v3i64(<3 x i64>, <3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.mad_sat.u.v3i64(<3 x i64>, <3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.max.s.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.max.u.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.min.s.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.min.u.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.mul_hi.s.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.mul_hi.u.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
declare <3 x i64> @air.popcount.v3i64(<3 x i64>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.rhadd.s.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.rhadd.u.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.rotate.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.sub_sat.s.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.sub_sat.u.v3i64(<3 x i64>, <3 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i64> @air.vload.constant.v3i64(i64, ptr addrspace(2) nocapture readonly) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!vector-data-load-and-store.metal.air
"declare <3 x i64> @air.vload.global.v3i64(i64, ptr addrspace(1) nocapture readonly) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!vector-data-load-and-store.metal.air
"declare <3 x i64> @air.vload.local.v3i64(i64, ptr addrspace(3) nocapture readonly) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!vector-data-load-and-store.metal.air
"declare <3 x i64> @air.vload.private.v3i64(i64, ptr nocapture readonly) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!vector-data-load-and-store.metal.air
declare <3 x i8> @air.abs.s.v3i8(<3 x i8>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!integer.metal.air
declare <3 x i8> @air.abs.u.v3i8(<3 x i8>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i8> @air.abs_diff.s.v3i8(<3 x i8>, <3 x i8>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i8> @air.abs_diff.u.v3i8(<3 x i8>, <3 x i8>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i8> @air.add_sat.s.v3i8(<3 x i8>, <3 x i8>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i8> @air.add_sat.u.v3i8(<3 x i8>, <3 x i8>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i8> @air.clamp.s.v3i8(<3 x i8>, <3 x i8>, <3 x i8>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i8> @air.clamp.u.v3i8(<3 x i8>, <3 x i8>, <3 x i8>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
"declare <3 x i8> @air.clz.v3i8(<3 x i8>, i1) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!integer.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f16.rte(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f16.rte.sat(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f16.rtn(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f16.rtn.sat(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f16.rtp(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f16.rtp.sat(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f16.rtz(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f16.rtz.sat(<3 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f32.rte(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f32.rte.sat(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f32.rtn(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f32.rtn.sat(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f32.rtp(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f32.rtp.sat(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f32.rtz(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f32.rtz.sat(<3 x float>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f64.rte(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f64.rte.sat(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f64.rtn(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f64.rtn.sat(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f64.rtp(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f64.rtp.sat(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f64.rtz(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.f.v3f64.rtz.sat(<3 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i16.rte(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i16.rte.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i16.rtn(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i16.rtn.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i16.rtp(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i16.rtp.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i16.rtz(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i16.rtz.sat(<3 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i32.rte(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i32.rte.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i32.rtn(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i32.rtn.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i32.rtp(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i32.rtp.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i32.rtz(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <3 x i8> @air.convert.s.v3i8.s.v3i32.rtz.sat(<3 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
